date,clock,open_eurusd,high_eurusd,low_eurusd,close_eurusd,tikvol_eurusd,open_audusd,high_audusd,low_audusd,close_audusd,tikvol_audusd,open_eurgbp,high_eurgbp,low_eurgbp,close_eurgbp,tikvol_eurgbp,open_gbpusd,high_gbpusd,low_gbpusd,close_gbpusd,tikvol_gbpusd,open_nzdusd,high_nzdusd,low_nzdusd,close_nzdusd,tikvol_nzdusd,open_usdchf,high_usdchf,low_usdchf,close_usdchf,tikvol_usdchf,open_usdjpy,high_usdjpy,low_usdjpy,close_usdjpy,tikvol_usdjpy
2023.04.24,00:00:00,1.09883,1.09904,1.09861,1.09863,552,0.66947,0.66968,0.66906,0.66926,422,0.88273,0.88321,0.88257,0.88267,373,1.24412,1.24442,1.24361,1.24405,328,0.61382,0.61404,0.61346,0.61381,289,1.09883,1.09904,1.09861,1.09863,552,1.09883,1.09904,1.09861,1.09863,552
2023.04.24,01:00:00,1.09868,1.09928,1.09862,1.09921,704,0.66932,0.66967,0.66885,0.66944,903,0.88273,0.88330,0.88273,0.88318,1164,1.24389,1.24460,1.24374,1.24448,1027,0.61381,0.61417,0.61341,0.61407,647,1.09868,1.09928,1.09862,1.09921,704,1.09868,1.09928,1.09862,1.09921,704
2023.04.24,02:00:00,1.09921,1.09956,1.09906,1.09913,625,0.66945,0.66971,0.66903,0.66903,859,0.88319,0.88332,0.88286,0.88300,1008,1.24447,1.24519,1.24444,1.24468,830,0.61408,0.61453,0.61401,0.61409,589,1.09921,1.09956,1.09906,1.09913,625,1.09921,1.09956,1.09906,1.09913,625
2023.04.24,03:00:00,1.09913,1.09945,1.09839,1.09943,1451,0.66902,0.66948,0.66817,0.66945,2023,0.88300,0.88370,0.88289,0.88320,2576,1.24467,1.24480,1.24375,1.24476,2814,0.61406,0.61443,0.61351,0.61436,1374,1.09913,1.09945,1.09839,1.09943,1451,1.09913,1.09945,1.09839,1.09943,1451
2023.04.24,04:00:00,1.09944,1.09944,1.09864,1.09869,1713,0.66944,0.66948,0.66818,0.66827,2647,0.88321,0.88329,0.88286,0.88304,3061,1.24476,1.24500,1.24409,1.24414,3109,0.61435,0.61465,0.61382,0.61388,1701,1.09944,1.09944,1.09864,1.09869,1713,1.09944,1.09944,1.09864,1.09869,1713
2023.04.24,05:00:00,1.09869,1.09903,1.09798,1.09806,1673,0.66826,0.66882,0.66793,0.66800,2758,0.88303,0.88320,0.88294,0.88295,3258,1.24413,1.24455,1.24344,1.24353,3777,0.61387,0.61429,0.61335,0.61337,1548,1.09869,1.09903,1.09798,1.09806,1673,1.09869,1.09903,1.09798,1.09806,1673
2023.04.24,06:00:00,1.09805,1.09843,1.09793,1.09811,1106,0.66799,0.66828,0.66770,0.66792,1878,0.88295,0.88320,0.88285,0.88309,2748,1.24352,1.24410,1.24312,1.24343,3189,0.61337,0.61370,0.61309,0.61327,1437,1.09805,1.09843,1.09793,1.09811,1106,1.09805,1.09843,1.09793,1.09811,1106
2023.04.24,07:00:00,1.09808,1.09822,1.09790,1.09799,909,0.66792,0.66801,0.66715,0.66750,1398,0.88309,0.88325,0.88289,0.88297,2162,1.24343,1.24365,1.24304,1.24345,2631,0.61323,0.61369,0.61294,0.61353,933,1.09808,1.09822,1.09790,1.09799,909,1.09808,1.09822,1.09790,1.09799,909
2023.04.24,08:00:00,1.09799,1.09807,1.09721,1.09779,1442,0.66751,0.66763,0.66695,0.66755,1985,0.88297,0.88341,0.88293,0.88339,2215,1.24345,1.24356,1.24237,1.24262,2665,0.61353,0.61370,0.61256,0.61275,1082,1.09799,1.09807,1.09721,1.09779,1442,1.09799,1.09807,1.09721,1.09779,1442
2023.04.24,09:00:00,1.09777,1.09860,1.09727,1.09743,2730,0.66753,0.66770,0.66650,0.66694,2710,0.88338,0.88422,0.88337,0.88345,4116,1.24262,1.24295,1.24134,1.24215,6700,0.61275,0.61365,0.61252,0.61322,1861,1.09777,1.09860,1.09727,1.09743,2730,1.09777,1.09860,1.09727,1.09743,2730
